Query ID,Flag
77096,1
26701,0
29653,1
23444,1
9604,0
46760,0
80194,1
12688,1
12790,1
38045,0
26661,1
71823,1
18302,0
26672,1
41987,1
51809,0
67087,0
46424,0
56821,1
86069,0
21464,1
26577,0
54801,0
12805,0
43375,1
54697,0
12819,0
29816,1
9719,0
12954,0
71801,0
38021,0
38125,0
86535,0
62960,1
63151,0
29796,0
46455,1
80170,0
77200,0
38008,0
12875,0
12744,0
3995,1
62831,1
4179,1
80298,1
65190,1
63231,0
4424,0
77171,0
54844,0
86484,0
1236,1
4286,0
59862,0
4311,0
68407,0
86488,0
12631,1
18319,1
4415,0
46662,1
43364,0
77108,0
51817,1
68553,0
54658,0
54484,0
80504,0
71685,0
62728,0
28,1
38028,0
38099,0
12671,1
21453,0
80500,0
4273,0
4155,1
68448,1
80491,0
46322,1
29719,0
12535,0
4465,0
65185,1
54640,1
38164,0
80377,0
80197,1
41983,0
77247,1
4343,1
9708,1
59905,0
84908,0
37847,0
80449,0
29647,1
54839,0
9679,0
21257,1
86394,0
29778,0
84916,1
23486,1
71741,0
15137,0
54604,1
12884,0
29724,0
71638,0
25341,0
58606,1
86335,0
84974,1
4328,0
80175,0
86487,0
1301,0
21518,0
29592,0
1198,0
59890,1
29746,0
