Query ID,Flag
72458,0
55,1
71945,0
72618,1
3463,0
21456,0
13951,0
13503,1
3494,0
43663,0
43505,0
42534,0
42882,1
14732,0
33295,1
13778,0
14096,0
43734,0
13555,0
3843,0
4242,0
43,0
71980,0
13533,0
43724,0
33347,0
13354,0
72357,1
72381,1
13699,0
33238,0
33171,0
53,0
14456,0
71501,0
4031,1
42708,0
43102,0
33215,0
4095,0
14117,0
62159,0
13384,0
42608,0
72406,0
43612,0
13338,0
3602,0
13758,0
72118,0
21441,1
43201,0
42957,0
42729,0
43070,0
72827,0
72000,0
4176,0
62000,0
14400,0
75,0
42635,1
14078,1
71548,1
43994,0
72339,1
3794,1
42701,0
72465,0
13592,0
3558,1
14460,1
42547,0
3640,0
43076,0
14384,0
83,0
71675,0
72271,0
43200,0
42649,1
14097,0
14161,0
29633,0
50872,1
43713,0
58738,0
21483,1
14802,0
43146,0
33055,0
72274,0
13385,0
13963,0
7,1
3482,0
14605,1
14333,0
71760,0
33046,0
44260,0
4271,0
4109,1
72590,0
42748,0
13559,0
72585,0
14036,0
3910,0
44080,0
33255,0
43316,0
13487,0
29601,0
44040,0
33372,0
14076,0
13639,1
14416,0
13517,0
72004,0
3456,0
71387,0
71838,0
3990,0
3645,0
33701,0
14595,0
3609,0
4006,0
3770,1
72892,0
29712,0
13308,1
13668,0
43600,0
3786,0
3929,1
4249,1
29606,0
14533,0
3432,0
43230,0
79652,0
71667,1
79681,1
71325,0
72040,0
79697,0
14128,0
29591,0
33431,0
14137,0
33481,1
44164,1
42885,0
3534,0
44010,0
71819,0
3652,0
29701,0
62232,1
14185,0
61939,0
4155,1
33115,0
33632,0
3672,0
33271,0
33716,0
13838,0
14628,0
14282,0
14293,0
3973,0
14618,0
3746,1
43368,0
13795,1
62261,0
71363,0
61,0
13745,0
3942,0
72348,0
43258,1
33457,1
44033,0
4288,0
33628,0
33156,0
13345,0
50937,0
13586,0
33263,0
71756,0
