Query ID,Flag
60936,0
74737,1
68221,0
32001,0
8025,1
77471,0
47195,0
70610,1
56226,1
76957,0
43821,0
33889,0
22781,1
80884,1
44774,1
12204,0
79620,0
59954,0
63730,0
10770,0
29322,0
608,0
58096,1
59266,0
60484,0
77855,0
11653,0
5810,1
3308,1
13095,1
45490,0
31117,1
17087,1
5815,1
77901,0
2399,1
85152,1
81581,0
67007,1
62012,0
14714,0
86143,0
46403,1
22937,0
49991,1
3723,0
42802,0
55323,1
41444,1
1073,1
17204,0
23163,0
42638,0
72659,0
87948,1
27079,0
52810,0
69206,0
32807,0
34266,0
33330,1
9921,0
34282,1
44482,0
29059,0
52734,0
34823,1
44238,0
37421,0
1856,0
3510,0
58984,0
40699,0
75338,0
56666,0
23248,1
20628,1
28751,0
3922,0
56514,0
17038,1
2354,0
17952,1
42351,0
41806,0
63962,0
68335,0
32970,1
17223,0
74322,0
1572,1
38494,1
76554,0
55489,1
35112,1
60806,1
82314,0
62757,0
10160,0
77514,1
43269,1
33112,1
62568,0
52534,0
85007,0
6148,0
32652,1
58949,0
32285,0
55223,1
7658,1
47838,0
86084,1
84845,0
20704,1
45775,0
4505,0
26752,0
73762,0
49267,0
26063,1
70915,0
71402,0
55721,1
72373,0
74814,0
27847,0
67966,1
577,0
51043,0
