Query ID,Flag
66451,1
35382,0
10221,0
86735,0
13826,0
8129,1
83532,1
45371,1
16899,1
28788,1
70359,0
56049,0
15931,0
48950,0
56495,0
69717,0
14198,0
64386,0
85582,0
46413,0
24777,0
79240,0
3215,0
69972,0
49173,1
44793,0
65624,1
22514,0
50919,1
48483,0
692,0
3007,0
7903,1
3221,0
66927,1
85860,0
78791,0
54421,1
28229,0
35056,0
77908,1
70672,0
10277,0
34211,0
39393,1
26820,0
9956,1
13537,0
85927,1
48480,0
73587,0
49529,0
16133,1
33971,0
49531,0
65673,1
2412,0
25365,0
78617,0
66203,1
28955,0
56737,0
27819,0
32177,0
53959,0
79741,1
68228,0
18761,0
13499,0
42348,1
2701,0
76740,0
45533,1
13722,0
52332,0
12296,1
21785,0
65425,0
45422,0
74989,1
9792,0
32738,0
38551,0
40611,1
75659,0
87540,0
28240,1
44845,1
7971,1
87616,0
49830,1
28946,0
43585,0
58705,0
16700,1
53924,0
51600,0
66052,0
34696,1
83931,0
1617,0
50984,0
69973,0
8655,0
43933,0
44159,1
74709,0
78994,0
70158,0
2513,1
9238,1
44066,1
5085,0
7474,1
5671,0
38414,0
77903,1
43557,0
6677,0
13497,0
58829,0
78490,1
77375,0
45560,0
19662,1
36378,1
30660,0
81549,0
72092,1
87714,0
45370,1
42077,0
34946,0
19189,1
19696,1
79359,0
22077,0
69319,0
62126,0
1685,0
70835,0
47032,0
3287,1
72773,0
72543,0
28028,1
52607,0
48770,1
73739,0
394,1
9039,1
88197,1
65584,0
69540,1
85530,1
65119,0
39392,1
43110,0
85155,1
41875,0
31708,0
13495,0
86105,1
74702,1
24313,0
5695,0
85562,0
15058,0
15335,0
25152,0
64662,0
58826,0
36687,0
85759,1
8722,1
11924,0
42934,1
53120,1
87569,1
58412,0
26542,1
46409,0
85289,0
37553,0
76966,1
25164,1
65125,0
17978,0
22234,0
76706,0
45418,0
26961,0
20358,0
73151,0
25687,1
55589,0
