Query ID,Flag
11629,0
7691,0
50658,0
21950,0
12471,1
54739,0
21584,0
81337,0
87064,1
19850,0
29499,1
10318,0
25719,1
73991,0
73864,0
12509,0
14846,0
51670,1
54246,1
67969,0
85129,0
50851,0
35139,0
76228,0
36115,0
65457,0
12142,0
34056,0
15439,1
58500,1
33950,1
12634,1
79476,0
25866,0
17233,0
24131,1
11448,0
68308,1
84677,0
54793,0
22262,0
15067,0
50656,0
21828,0
38666,0
67514,0
49339,0
10097,0
50058,0
10316,1
26104,0
12894,0
86291,0
67889,1
16133,0
12507,0
75958,0
79617,0
68441,1
11627,0
74097,0
79968,0
70543,0
79644,0
12742,1
70369,0
30501,0
34980,1
76512,0
22032,0
7257,0
4746,0
12768,0
70435,0
83220,0
77800,1
76605,0
74318,0
73984,1
63490,1
38668,0
10099,0
34789,0
55251,0
58028,0
50866,0
54775,1
54776,0
51914,0
1643,1
75279,0
52115,0
44978,1
28714,0
44321,0
78631,0
34437,1
9959,0
12464,0
10941,0
62997,0
62877,0
17864,1
26916,0
12961,0
76034,0
67887,0
79640,0
30246,0
56155,0
55655,0
48770,0
51054,0
56305,0
12773,0
12974,0
86371,0
84575,1
9834,0
1844,0
45507,0
86555,1
15929,0
79081,1
15656,1
79645,0
54778,1
34667,0
51901,0
34406,0
5744,1
52855,0
7636,0
81506,0
19207,0
26821,0
48258,0
19186,0
51289,0
65521,1
50406,0
25347,0
73783,0
65468,0
21240,0
21802,1
11820,0
18736,1
31779,0
41910,0
29346,1
73574,1
65607,0
56636,0
46175,0
84074,0
49308,0
68092,0
56101,0
69637,0
15844,0
32084,0
84084,0
38571,0
83236,0
26341,0
42365,0
63875,0
51287,0
63222,0
45688,0
56266,0
76230,0
12034,1
56133,0
84585,1
65740,0
29044,0
51435,0
19188,0
57384,1
48039,0
79019,0
47532,1
9957,0
27543,1
15541,1
22018,0
79633,0
7468,0
78838,0
47748,1
28662,0
54151,1
84593,0
65459,0
